stock,total_score,raw_momentum_6m,raw_momentum_3m,raw_momentum_1m,volatility_adjusted,smooth_momentum,consistency_score,trend_strength,momentum_12_2,fip_quality,calculated_date,created_at
EMIL.NS,0.6196,0.2041,0.0076,0.254,0.0793,0.1257,0.45,0.5,-0.133,0.4,2025-09-08,2025-09-07 19:42:05
TITAN.NS,0.6187,0.1215,-0.0064,0.0489,0.0878,0.1188,0.5667,1.0,0.1153,0.4,2025-09-08,2025-09-07 19:42:04
POONAWALLA.NS,0.6184,0.1321,-0.0376,-0.0505,0.0296,0.2738,0.5,0.0,0.1933,0.2,2025-09-08,2025-09-07 19:42:04
DHANUKA.NS,0.6178,0.2352,-0.022,0.0055,-0.011,0.195,0.4833,0.0,0.0452,0.2,2025-09-08,2025-09-07 19:42:05
GRINFRA.NS,0.617,0.1797,0.0148,0.0201,-0.0437,0.1595,0.4,0.5,-0.1871,0.0,2025-09-08,2025-09-07 19:42:05
CENTURYPLY.NS,0.616,0.1073,0.0922,0.1088,0.079,0.0631,0.4167,1.0,0.1035,0.0,2025-09-08,2025-09-07 19:42:04
TORNTPHARM.NS,0.6149,0.1145,0.1122,-0.0108,0.1354,0.0811,0.4833,0.5,0.1223,0.2,2025-09-08,2025-09-07 19:42:04
CUB.NS,0.6136,0.1939,-0.0156,-0.0533,0.039,0.2004,0.4833,0.0,0.1326,0.2,2025-09-08,2025-09-07 19:42:05
POWERMECH.NS,0.6135,0.1201,-0.031,-0.0271,0.0079,0.2653,0.5333,0.0,0.1163,-0.2,2025-09-08,2025-09-07 19:42:05
AFFLE.NS,0.6127,0.2528,-0.0131,-0.0172,0.0253,0.1645,0.4167,0.0,0.2031,0.0,2025-09-08,2025-09-07 19:42:04
TTKPRESTIG.NS,0.6116,0.0271,0.0969,0.0733,0.1888,0.0707,0.55,1.0,-0.2158,-0.2,2025-09-08,2025-09-07 19:42:05
INDIAMART.NS,0.6115,0.2154,-0.0282,0.0067,0.036,0.1905,0.4833,0.0,0.0962,0.0,2025-09-08,2025-09-07 19:42:05
BSE.NS,0.6102,0.1705,-0.1712,-0.0641,-0.0954,0.3932,0.4667,0.5,0.5579,0.2,2025-09-08,2025-09-07 19:42:04
CGCL.NS,0.61,0.152,0.0859,-0.0025,0.055,0.0759,0.5,0.5,-0.1305,0.2,2025-09-08,2025-09-07 19:42:05
SANSERA.NS,0.6087,0.2082,-0.0073,0.065,0.0418,0.1033,0.55,0.5,-0.1384,0.2,2025-09-08,2025-09-07 19:42:05
FINPIPE.NS,0.6084,0.2001,-0.0085,0.1506,0.003,0.1244,0.4833,0.5,-0.2032,0.2,2025-09-08,2025-09-07 19:42:04
APTUS.NS,0.6083,0.0979,0.0583,-0.0466,0.0647,0.0712,0.5,1.0,0.0811,0.2,2025-09-08,2025-09-07 19:42:05
LTFOODS.NS,0.6076,0.2576,-0.0073,-0.0314,-0.0151,0.1494,0.4333,0.0,0.2315,0.1,2025-09-08,2025-09-07 19:42:05
KARURVYSYA.NS,0.6068,0.1898,0.0053,-0.035,0.0536,0.1636,0.5167,0.0,0.0917,0.0,2025-09-08,2025-09-07 19:42:04
SHILPAMED.NS,0.6067,0.2812,-0.0208,-0.0756,-0.0965,0.1537,0.45,0.0,-0.061,0.6,2025-09-08,2025-09-07 19:42:05
YESBANK.NS,0.6067,0.1667,0.0179,0.0884,0.0075,0.1284,0.4333,0.5,0.0089,0.0,2025-09-08,2025-09-07 19:42:04
ULTRACEMCO.NS,0.6065,0.0813,0.0603,0.0223,0.189,0.1108,0.5333,0.5,0.1375,0.4,2025-09-08,2025-09-07 19:42:04
MAHLIFE.NS,0.6057,0.1677,0.0143,0.0666,0.067,0.1073,0.5167,0.5,-0.2509,0.0,2025-09-08,2025-09-07 19:42:05
EUREKAFORB.NS,0.6043,0.2079,-0.0011,0.0893,0.0086,0.102,0.4833,0.5,0.0366,0.2,2025-09-08,2025-09-07 19:42:05
KIRLOSBROS.NS,0.6043,0.217,-0.058,0.0624,0.0593,0.1377,0.4333,0.5,-0.1451,0.2,2025-09-08,2025-09-07 19:42:05
RUSTOMJEE.NS,0.6038,0.1752,0.0795,-0.0495,0.1019,0.0991,0.5167,0.0,-0.1402,0.0,2025-09-08,2025-09-07 19:42:05
SHOPERSTOP.NS,0.6038,0.0499,0.0807,0.0647,0.0679,0.0684,0.5667,1.0,-0.0994,0.0,2025-09-08,2025-09-07 19:42:05
MARICO.NS,0.6037,0.0382,0.0176,0.0298,0.1013,0.1251,0.5333,1.0,0.1432,0.4,2025-09-08,2025-09-07 19:42:04
MIDHANI.NS,0.6015,0.3527,-0.1299,-0.0463,-0.0789,0.1899,0.3167,0.0,0.1208,0.0,2025-09-08,2025-09-07 19:42:05
DCMSHRIRAM.NS,0.6011,0.1823,0.0408,-0.027,0.081,0.118,0.55,0.0,0.101,0.2,2025-09-08,2025-09-07 19:42:05
IGL.NS,0.601,0.1949,0.0265,0.0478,0.0599,0.07,0.5,0.5,0.3387,0.2,2025-09-08,2025-09-07 19:42:04
METROBRAND.NS,0.5997,0.1275,0.0843,0.1201,0.0198,0.0806,0.4667,0.5,0.0123,-0.2,2025-09-08,2025-09-07 19:42:04
CDSL.NS,0.599,0.2526,-0.1199,-0.0223,-0.0487,0.2225,0.4833,0.0,-0.0497,-0.2,2025-09-08,2025-09-07 19:42:04
EPL.NS,0.5989,0.2208,-0.0204,0.0088,-0.025,0.1013,0.4833,0.5,-0.1233,0.0,2025-09-08,2025-09-07 19:42:05
VOLTAS.NS,0.5988,0.1164,0.0868,0.1228,0.1222,-0.0022,0.5333,1.0,-0.1345,-0.6,2025-09-08,2025-09-07 19:42:04
LATENTVIEW.NS,0.5987,0.1081,0.0506,0.0746,0.0614,0.1114,0.4667,0.5,-0.054,0.0,2025-09-08,2025-09-07 19:42:05
SAMMAANCAP.NS,0.5981,0.2034,-0.0378,0.1664,0.0469,0.1207,0.4167,0.5,-0.1607,0.2,2025-09-08,2025-09-07 19:42:05
POLICYBZR.NS,0.5977,0.1289,-0.0031,-0.0032,-0.0157,0.1529,0.45,0.5,-0.0084,-0.2,2025-09-08,2025-09-07 19:42:04
RELIGARE.NS,0.5965,0.1456,0.1259,-0.0143,0.0679,0.0137,0.5,0.5,0.0143,0.0,2025-09-08,2025-09-07 19:42:05
PURVA.NS,0.5957,0.2677,-0.0186,0.0005,-0.0251,0.0704,0.3833,0.5,-0.2344,0.2,2025-09-08,2025-09-07 19:42:05
RRKABEL.NS,0.5955,0.3253,-0.1068,-0.0173,-0.1067,0.1697,0.4167,0.0,-0.1756,-0.2,2025-09-08,2025-09-07 19:42:04
KIRLOSENG.NS,0.5955,0.1912,0.006,-0.0371,-0.0077,0.1601,0.4,0.0,-0.2201,0.2,2025-09-08,2025-09-07 19:42:04
LTIM.NS,0.5943,0.2188,-0.0294,0.0209,-0.0491,0.0952,0.55,0.5,-0.1596,-0.2,2025-09-08,2025-09-07 19:42:04
JKTYRE.NS,0.5936,0.1647,-0.0136,0.114,-0.0571,0.1371,0.4167,0.5,-0.0672,0.0,2025-09-08,2025-09-07 19:42:05
CANBK.NS,0.5931,0.1985,-0.0344,-0.0184,-0.0355,0.1823,0.4333,0.0,0.0939,0.0,2025-09-08,2025-09-07 19:42:04
MANKIND.NS,0.5917,0.0494,0.1053,0.0293,0.0732,0.0891,0.4833,0.5,-0.0043,-0.2,2025-09-08,2025-09-07 19:42:04
ITI.NS,0.591,0.2039,-0.0407,0.0556,-0.0426,0.1257,0.3833,0.5,0.1157,0.0,2025-09-08,2025-09-07 19:42:04
PNCINFRA.NS,0.5909,0.1467,0.0259,0.0091,0.0115,0.0958,0.45,0.5,0.06,0.2,2025-09-08,2025-09-07 19:42:05
SUNTECK.NS,0.5905,0.145,0.0219,0.2013,0.0216,0.0994,0.4333,0.5,-0.1166,0.0,2025-09-08,2025-09-07 19:42:05
BIRLACORPN.NS,0.5884,0.1345,-0.0233,0.0118,-0.0382,0.1409,0.5,0.5,0.1175,0.0,2025-09-08,2025-09-07 19:42:05
NIVABUPA.NS,0.587,0.1365,0.0338,0.0344,0.035,0.0811,0.4667,0.5,0.1277,0.2,2025-09-08,2025-09-07 19:42:05
FINEORG.NS,0.5863,0.1163,-0.0104,0.0078,0.0178,0.1365,0.4333,0.5,-0.0604,-0.2,2025-09-08,2025-09-07 19:42:05
CEATLTD.NS,0.5857,0.166,-0.052,0.0847,-0.0691,0.1501,0.4167,0.5,0.1383,0.0,2025-09-08,2025-09-07 19:42:05
JSWSTEEL.NS,0.5854,0.0692,0.0438,0.0281,0.1262,0.0334,0.5333,1.0,0.1124,0.2,2025-09-08,2025-09-07 19:42:04
ITDCEM.NS,0.5849,0.3647,-0.1724,-0.0567,-0.0166,0.15,0.4333,0.0,0.431,0.2,2025-09-08,2025-09-07 19:42:05
FIRSTCRY.NS,0.5848,0.1816,0.0078,0.0795,0.0414,0.019,0.3333,1.0,-0.3196,0.0,2025-09-08,2025-09-07 19:42:04
RAMCOCEM.NS,0.5845,0.1017,0.0166,-0.0007,0.0205,0.1687,0.5333,0.0,0.0917,0.2,2025-09-08,2025-09-07 19:42:04
BEL.NS,0.5837,0.2685,-0.0915,-0.0343,-0.041,0.1643,0.3667,0.0,0.2189,0.0,2025-09-08,2025-09-07 19:42:04
PRESTIGE.NS,0.5827,0.263,-0.109,-0.0544,-0.0733,0.1795,0.4167,0.0,-0.071,0.0,2025-09-08,2025-09-07 19:42:04
PIDILITIND.NS,0.582,0.0452,0.0354,0.0033,0.0504,0.0709,0.4667,1.0,0.0266,0.0,2025-09-08,2025-09-07 19:42:04
DEVYANI.NS,0.5818,0.0996,0.0474,0.16,0.0729,0.0756,0.4833,0.5,0.0845,0.0,2025-09-08,2025-09-07 19:42:04
SHYAMMETL.NS,0.5812,0.0647,0.0788,-0.0281,0.1156,0.0645,0.5,0.5,0.1067,0.2,2025-09-08,2025-09-07 19:42:04
ENGINERSIN.NS,0.5806,0.204,-0.1257,0.0711,-0.0635,0.1606,0.4833,0.5,0.0222,0.0,2025-09-08,2025-09-07 19:42:05
PNGJL.NS,0.5805,0.1266,0.0237,0.0503,-0.0021,0.0894,0.45,0.5,-0.0998,0.0,2025-09-08,2025-09-07 19:42:05
RTNPOWER.NS,0.5803,0.2354,-0.1142,0.0382,-0.0519,0.1418,0.35,0.5,-0.0581,-0.2,2025-09-08,2025-09-07 19:42:05
SBILIFE.NS,0.5793,0.1558,-0.0294,-0.0188,0.0417,0.1503,0.5333,0.0,0.202,0.4,2025-09-08,2025-09-07 19:42:04
KSB.NS,0.579,0.1317,0.0208,0.0255,-0.0119,0.0862,0.45,0.5,-0.0167,0.2,2025-09-08,2025-09-07 19:42:05
SBFC.NS,0.5789,0.1858,-0.0024,0.0287,-0.0313,0.1272,0.4667,0.0,0.2134,0.2,2025-09-08,2025-09-07 19:42:05
BLUESTARCO.NS,0.578,-0.0353,0.1753,0.0883,0.1708,-0.0204,0.5167,1.0,0.0555,0.4,2025-09-08,2025-09-07 19:42:04
SAIL.NS,0.5776,0.1417,-0.0323,0.0742,0.0044,0.1132,0.4667,0.5,0.1122,-0.2,2025-09-08,2025-09-07 19:42:04
BHARTIHEXA.NS,0.5774,0.1644,-0.0299,0.0281,-0.0016,0.1575,0.45,0.0,0.3324,0.0,2025-09-08,2025-09-07 19:42:04
BIOCON.NS,0.5768,0.1065,0.0382,0.0116,0.0408,0.0656,0.5333,0.5,0.0146,-0.2,2025-09-08,2025-09-07 19:42:04
VEDL.NS,0.5761,0.1863,0.0148,0.0744,0.0296,0.0313,0.5,0.5,0.0725,0.0,2025-09-08,2025-09-07 19:42:04
CAPLIPOINT.NS,0.5722,0.1077,0.024,-0.0024,0.0165,0.0737,0.5,0.5,0.0242,0.0,2025-09-08,2025-09-07 19:42:05
MMTC.NS,0.5721,0.2263,-0.0912,0.0414,-0.0771,0.119,0.3167,0.5,-0.1723,0.2,2025-09-08,2025-09-07 19:42:05
GODIGIT.NS,0.5713,0.2172,-0.0069,-0.0094,0.0395,0.0792,0.45,0.0,0.0523,-0.2,2025-09-08,2025-09-07 19:42:04
REDTAPE.NS,0.5706,0.0266,0.1425,0.2111,0.0834,0.0333,0.4,0.5,-0.265,0.2,2025-09-08,2025-09-07 19:42:05
HOMEFIRST.NS,0.5684,0.1114,-0.091,0.0073,0.0269,0.1418,0.5833,0.5,0.1557,0.4,2025-09-08,2025-09-07 19:42:05
GRASIM.NS,0.5674,0.0366,-0.0226,0.0156,0.0771,0.0816,0.4833,1.0,0.0748,0.2,2025-09-08,2025-09-07 19:42:04
NETWORK18.NS,0.567,0.2381,-0.09,-0.0361,0.0058,0.1363,0.3667,0.0,-0.3203,0.0,2025-09-08,2025-09-07 19:42:05
AZAD.NS,0.5662,0.0813,-0.0029,0.0202,-0.0075,0.1141,0.4167,0.5,-0.0778,0.0,2025-09-08,2025-09-07 19:42:05
ARE&M.NS,0.5651,0.0512,0.0577,0.0648,0.0192,0.0177,0.4333,1.0,-0.1672,0.2,2025-09-08,2025-09-07 19:42:04
KEC.NS,0.5645,0.2066,-0.081,0.0956,-0.0205,0.0905,0.3667,0.5,-0.161,0.0,2025-09-08,2025-09-07 19:42:04
FDC.NS,0.5639,0.1107,-0.0054,-0.0102,0.0341,0.0877,0.3667,0.5,-0.0757,0.0,2025-09-08,2025-09-07 19:42:05
SUMICHEM.NS,0.563,0.0278,0.1071,-0.0289,0.1179,0.0784,0.55,0.0,0.0538,-0.2,2025-09-08,2025-09-07 19:42:04
JUBLPHARMA.NS,0.5622,0.1681,-0.0893,0.0133,-0.03,0.1171,0.4,0.5,-0.0546,0.2,2025-09-08,2025-09-07 19:42:05
ELECON.NS,0.5621,0.1947,-0.1186,-0.0007,-0.1562,0.1979,0.45,0.0,-0.0503,0.2,2025-09-08,2025-09-07 19:42:05
UPL.NS,0.5614,0.0562,0.0919,0.0072,0.0965,0.0739,0.5167,0.0,0.2678,0.4,2025-09-08,2025-09-07 19:42:04
SWANENERGY.NS,0.5607,0.0995,0.0156,0.0503,0.0286,0.0585,0.4833,0.5,-0.2568,-0.2,2025-09-08,2025-09-07 19:42:04
AUBANK.NS,0.5603,0.2109,-0.1491,-0.0719,-0.1153,0.1969,0.4667,0.0,0.1825,-0.2,2025-09-08,2025-09-07 19:42:04
TARIL.NS,0.5602,-0.0767,0.0306,-0.0213,-0.0029,0.1297,0.3833,1.0,0.0277,0.0,2025-09-08,2025-09-07 19:42:05
INGERRAND.NS,0.5594,0.0817,0.0084,0.0785,-0.0065,0.0721,0.55,0.5,-0.1649,0.0,2025-09-08,2025-09-07 19:42:05
GRANULES.NS,0.5592,0.1068,0.0344,0.1155,-0.0054,0.0406,0.4833,0.5,-0.1182,0.0,2025-09-08,2025-09-07 19:42:05
CELLO.NS,0.5591,0.1121,0.0005,0.1406,0.0054,0.0656,0.45,0.5,-0.2105,0.4,2025-09-08,2025-09-07 19:42:04
BBOX.NS,0.5588,0.2296,-0.0963,-0.0466,-0.1276,0.1499,0.3833,0.0,-0.2503,0.2,2025-09-08,2025-09-07 19:42:05
KPIGREEN.NS,0.558,0.1583,-0.0197,-0.0423,-0.0236,0.1192,0.3833,0.0,-0.047,-0.2,2025-09-08,2025-09-07 19:42:05
KIRLPNU.NS,0.5574,0.1371,-0.1044,-0.0123,-0.0076,0.134,0.4167,0.5,-0.2589,0.2,2025-09-08,2025-09-07 19:42:05
ASTRAL.NS,0.5573,0.1282,-0.0408,0.1395,-0.014,0.0784,0.5167,0.5,-0.1845,0.2,2025-09-08,2025-09-07 19:42:04
COALINDIA.NS,0.5571,0.0229,0.0257,0.0364,0.0612,0.031,0.4833,1.0,-0.0165,0.0,2025-09-08,2025-09-07 19:42:04
SUNDRMFAST.NS,0.557,0.1137,0.0159,0.0703,0.039,0.0432,0.4333,0.5,-0.1118,0.2,2025-09-08,2025-09-07 19:42:04
ASTRAZEN.NS,0.5569,0.0313,0.046,0.0969,-0.0854,0.0906,0.5167,0.5,0.4099,0.2,2025-09-08,2025-09-07 19:42:04
EMAMILTD.NS,0.5568,0.0013,0.0511,0.0363,0.0497,0.0316,0.45,1.0,-0.0775,0.2,2025-09-08,2025-09-07 19:42:04
SCHAEFFLER.NS,0.5562,0.2208,-0.0237,-0.0155,-0.0962,0.0802,0.4333,0.0,0.0961,0.0,2025-09-08,2025-09-07 19:42:04
TCI.NS,0.5561,0.0442,0.02,0.0163,0.0264,0.084,0.4833,0.5,0.0624,0.2,2025-09-08,2025-09-07 19:42:05
PFIZER.NS,0.5551,0.228,-0.0921,-0.0383,-0.117,0.1368,0.3833,0.0,-0.0297,0.4,2025-09-08,2025-09-07 19:42:04
HEG.NS,0.555,0.0425,-0.0012,-0.0224,-0.0061,0.1054,0.4833,0.5,0.1886,0.0,2025-09-08,2025-09-07 19:42:05
INTELLECT.NS,0.553,0.2124,-0.1868,-0.0213,-0.1644,0.2133,0.5,0.0,0.262,-0.2,2025-09-08,2025-09-07 19:42:05
DRREDDY.NS,0.5529,0.1064,-0.0331,0.0074,-0.0831,0.0898,0.5167,0.5,0.0649,0.2,2025-09-08,2025-09-07 19:42:04
PNB.NS,0.5525,0.1039,-0.0248,-0.025,-0.0076,0.1305,0.5167,0.0,0.0215,0.0,2025-09-08,2025-09-07 19:42:04
INOXINDIA.NS,0.5523,0.1453,-0.0546,0.0755,-0.0082,0.0741,0.4333,0.5,0.0233,0.0,2025-09-08,2025-09-07 19:42:05
RITES.NS,0.5523,0.1327,-0.0579,0.0436,-0.0868,0.1079,0.3667,0.5,-0.0896,-0.2,2025-09-08,2025-09-07 19:42:05
CIPLA.NS,0.5519,0.0558,0.0335,-0.0082,0.0657,0.0417,0.5333,0.5,0.0492,0.0,2025-09-08,2025-09-07 19:42:04
ALKYLAMINE.NS,0.5509,0.17,-0.0918,-0.0055,0.0374,0.1325,0.45,0.0,0.0555,0.0,2025-09-08,2025-09-07 19:42:05
SFL.NS,0.5507,0.1038,-0.0361,0.067,0.0704,0.0051,0.4833,1.0,-0.1178,0.2,2025-09-08,2025-09-07 19:42:05
ESABINDIA.NS,0.5506,0.1046,0.0152,0.0225,0.0052,0.097,0.4667,0.0,-0.1325,0.0,2025-09-08,2025-09-07 19:42:05
CAMPUS.NS,0.5499,0.1587,-0.0296,0.0734,-0.0431,0.043,0.45,0.5,-0.0162,0.2,2025-09-08,2025-09-07 19:42:05
TATAMOTORS.NS,0.5498,0.1242,0.0157,0.0435,-0.0292,0.0249,0.4833,0.5,-0.1078,0.2,2025-09-08,2025-09-07 19:42:04
HCC.NS,0.5495,0.1144,-0.0637,0.1287,-0.1097,0.1232,0.3667,0.5,-0.2935,0.4,2025-09-08,2025-09-07 19:42:05
COFORGE.NS,0.5493,0.2905,-0.1182,0.0116,-0.0463,0.0702,0.5167,0.0,-0.0358,0.2,2025-09-08,2025-09-07 19:42:04
JBCHEPHARM.NS,0.5491,0.0805,-0.0187,-0.0022,-0.0058,0.0799,0.4667,0.5,-0.0138,0.2,2025-09-08,2025-09-07 19:42:04
MAHABANK.NS,0.5488,0.1812,-0.0202,-0.0302,-0.0239,0.0732,0.45,0.0,-0.026,0.2,2025-09-08,2025-09-07 19:42:04
SOBHA.NS,0.5487,0.1974,-0.0393,-0.0778,-0.0933,0.0851,0.4833,0.0,-0.1424,0.0,2025-09-08,2025-09-07 19:42:05
TIINDIA.NS,0.5485,0.1628,-0.0053,-0.0248,0.0125,0.0112,0.4167,0.5,-0.1174,-0.2,2025-09-08,2025-09-07 19:42:04
GESHIP.NS,0.5471,0.1154,-0.0122,-0.0026,0.0081,0.0463,0.4333,0.5,-0.106,0.0,2025-09-08,2025-09-07 19:42:04
RENUKA.NS,0.547,0.134,-0.0255,0.1453,-0.032,0.0624,0.3333,0.5,-0.2521,0.0,2025-09-08,2025-09-07 19:42:05
COROMANDEL.NS,0.5469,0.0349,-0.0037,-0.0375,0.0032,0.1517,0.4833,0.0,0.2952,0.2,2025-09-08,2025-09-07 19:42:04
M&MFIN.NS,0.5462,0.0296,0.026,0.0557,0.0144,0.0101,0.4667,1.0,0.0134,-0.2,2025-09-08,2025-09-07 19:42:04
AHLUCONT.NS,0.5453,0.0365,-0.0036,-0.0115,0.0224,0.1473,0.45,0.0,-0.05,-0.4,2025-09-08,2025-09-07 19:42:05
JUNIPER.NS,0.5452,0.0842,0.0181,0.0617,-0.0896,0.0535,0.4667,0.5,-0.1912,0.2,2025-09-08,2025-09-07 19:42:05
APLLTD.NS,0.5445,0.1312,-0.0175,-0.0104,-0.0238,0.0925,0.4833,0.0,-0.12,0.2,2025-09-08,2025-09-07 19:42:04
3MINDIA.NS,0.5442,0.0054,0.068,0.0015,0.0757,0.0403,0.45,0.5,-0.0376,0.2,2025-09-08,2025-09-07 19:42:04
HAVELLS.NS,0.544,0.0079,0.0025,0.0668,0.0236,0.0357,0.4833,1.0,-0.0814,0.0,2025-09-08,2025-09-07 19:42:04
DOMS.NS,0.5435,0.008,0.0641,0.1056,0.0954,-0.026,0.4667,1.0,-0.0976,0.2,2025-09-08,2025-09-07 19:42:05
INDIGO.NS,0.5434,0.0812,-0.0016,-0.0549,0.0474,0.1025,0.4667,0.0,0.3315,0.4,2025-09-08,2025-09-07 19:42:04
TATACHEM.NS,0.5433,0.1155,-0.0014,0.0004,0.0087,0.0904,0.4167,0.0,-0.1467,0.0,2025-09-08,2025-09-07 19:42:04
NAVINFLUOR.NS,0.5431,0.1197,-0.0017,-0.0656,0.0399,0.0715,0.5,0.0,0.3368,0.0,2025-09-08,2025-09-07 19:42:05
CANFINHOME.NS,0.5429,0.1339,-0.0439,-0.0117,-0.0516,0.1209,0.4167,0.0,-0.0787,0.0,2025-09-08,2025-09-07 19:42:05
IDBI.NS,0.5418,0.1257,-0.0486,0.0177,-0.0453,0.1249,0.4333,0.0,0.106,0.2,2025-09-08,2025-09-07 19:42:04
LLOYDSENGG.NS,0.5415,0.0732,0.0732,-0.1051,0.0138,0.0519,0.45,0.0,-0.0745,-0.4,2025-09-08,2025-09-07 19:42:05
NUVAMA.NS,0.5415,0.1946,-0.1305,-0.0584,-0.0659,0.1418,0.45,0.0,0.0089,0.2,2025-09-08,2025-09-07 19:42:04
HINDCOPPER.NS,0.5405,0.1684,-0.0995,0.02,-0.0205,0.0613,0.4833,0.5,-0.1166,0.2,2025-09-08,2025-09-07 19:42:04
ZENSARTECH.NS,0.5403,0.2031,-0.072,-0.0349,-0.1016,0.0864,0.5,0.0,0.0221,0.0,2025-09-08,2025-09-07 19:42:05
SOLARINDS.NS,0.5401,0.1682,-0.1918,-0.0764,-0.1691,0.2311,0.4,0.0,0.3559,0.2,2025-09-08,2025-09-07 19:42:04
BHARTIARTL.NS,0.5385,0.0617,-0.0519,0.0108,0.0566,0.0813,0.4833,0.5,0.2106,0.0,2025-09-08,2025-09-07 19:42:04
APLAPOLLO.NS,0.5373,0.0697,-0.068,0.0406,-0.0847,0.111,0.4833,0.5,0.1287,0.2,2025-09-08,2025-09-07 19:42:04
GRAPHITE.NS,0.5337,0.1247,-0.0547,-0.0327,-0.002,0.0993,0.4667,0.0,0.09,0.2,2025-09-08,2025-09-07 19:42:05
TVSSCS.NS,0.5328,0.1931,-0.0386,-0.0194,-0.017,-0.0105,0.3667,0.5,-0.2564,0.2,2025-09-08,2025-09-07 19:42:05
IGIL.NS,0.5324,0.0409,-0.0202,0.0433,-0.0853,0.0899,0.4167,0.5,0.0,0.0,2025-09-08,2025-09-07 19:42:04
NESTLEIND.NS,0.5324,0.0237,-0.0031,0.1079,0.0255,0.0546,0.5333,0.5,0.0797,0.4,2025-09-08,2025-09-07 19:42:04
INDIASHLTR.NS,0.5316,0.0224,0.0242,-0.0224,0.0248,0.0939,0.5167,0.0,0.385,0.6,2025-09-08,2025-09-07 19:42:05
GODREJCP.NS,0.5316,0.0188,0.0423,0.0374,0.0358,0.086,0.4667,0.0,-0.0137,0.2,2025-09-08,2025-09-07 19:42:04
BAJFINANCE.NS,0.5314,0.0299,-0.0153,0.0876,0.008,0.0566,0.5667,0.5,0.4041,0.4,2025-09-08,2025-09-07 19:42:04
SBIN.NS,0.5312,0.0781,0.0124,-0.0237,0.0065,0.0715,0.4667,0.0,-0.0131,-0.2,2025-09-08,2025-09-07 19:42:04
ANANTRAJ.NS,0.5311,0.1301,-0.0457,0.0038,-0.0196,0.0351,0.3833,0.5,-0.1981,0.0,2025-09-08,2025-09-07 19:42:04
SAFARI.NS,0.5307,0.0316,0.023,0.0609,0.0097,0.0468,0.3667,0.5,-0.1273,0.0,2025-09-08,2025-09-07 19:42:05
SANOFICONR.NS,0.5295,0.0557,0.0011,0.0134,0.0149,0.0331,0.45,0.5,0.0886,0.2,2025-09-08,2025-09-07 19:42:05
CERA.NS,0.5292,0.129,-0.0305,-0.0098,-0.0852,0.091,0.3833,0.0,-0.1139,0.0,2025-09-08,2025-09-07 19:42:05
BANKINDIA.NS,0.5292,0.0511,-0.0342,-0.0021,-0.0572,0.1311,0.5,0.0,0.0495,0.2,2025-09-08,2025-09-07 19:42:04
LICI.NS,0.5281,0.1333,-0.0717,-0.0118,-0.0899,0.105,0.5,0.0,-0.0299,0.2,2025-09-08,2025-09-07 19:42:04
GODREJIND.NS,0.5279,0.0742,-0.0209,0.033,-0.036,0.0407,0.4667,0.5,0.1373,0.2,2025-09-08,2025-09-07 19:42:04
HDFCLIFE.NS,0.5265,0.0815,-0.0493,-0.0364,0.0207,0.1047,0.4667,0.0,0.1199,0.2,2025-09-08,2025-09-07 19:42:04
GMRAIRPORT.NS,0.5257,0.0013,0.015,-0.051,0.0706,0.0921,0.5333,0.0,0.0529,0.0,2025-09-08,2025-09-07 19:42:04
GENUSPOWER.NS,0.5257,0.1244,-0.119,-0.0683,-0.1231,0.1594,0.4167,0.0,-0.267,0.2,2025-09-08,2025-09-07 19:42:05
GPPL.NS,0.5252,0.0964,-0.0411,0.0081,-0.039,0.0949,0.4667,0.0,-0.1554,0.2,2025-09-08,2025-09-07 19:42:05
BERGEPAINT.NS,0.5251,0.0403,-0.0393,0.0197,-0.0341,0.0707,0.4833,0.5,0.1168,0.4,2025-09-08,2025-09-07 19:42:04
WESTLIFE.NS,0.5249,0.0443,-0.0059,0.1135,0.0574,0.0322,0.4167,0.5,-0.0236,0.2,2025-09-08,2025-09-07 19:42:05
MEDPLUS.NS,0.5244,0.0433,-0.0709,0.031,-0.0554,0.0982,0.4667,0.5,0.1267,0.0,2025-09-08,2025-09-07 19:42:05
TRENT.NS,0.5244,0.1319,-0.0969,0.027,-0.0046,0.0478,0.45,0.5,-0.1935,-0.2,2025-09-08,2025-09-07 19:42:04
TITAGARH.NS,0.5234,0.0656,-0.1031,0.0391,-0.06,0.1001,0.5167,0.5,-0.2994,0.2,2025-09-08,2025-09-07 19:42:04
IOC.NS,0.523,0.0771,-0.0216,-0.0003,0.0072,0.0735,0.5167,0.0,0.0296,0.0,2025-09-08,2025-09-07 19:42:04
BAJAJFINSV.NS,0.5229,0.0244,-0.0183,0.0467,-0.0046,0.0549,0.4833,0.5,0.2599,0.2,2025-09-08,2025-09-07 19:42:04
PEL.NS,0.5226,0.1064,-0.0589,-0.0356,-0.0337,0.1028,0.4,0.0,-0.0822,0.2,2025-09-08,2025-09-07 19:42:04
BPCL.NS,0.5221,0.0799,-0.0359,-0.0152,0.0038,0.0936,0.4167,0.0,0.1048,0.4,2025-09-08,2025-09-07 19:42:04
IFCI.NS,0.5216,0.2275,-0.1673,-0.0047,-0.1507,0.127,0.35,0.0,-0.1743,0.4,2025-09-08,2025-09-07 19:42:04
JUBLINGREA.NS,0.5212,0.0788,-0.0637,0.0218,0.0447,0.0331,0.5333,0.5,-0.0357,0.0,2025-09-08,2025-09-07 19:42:05
