stock,total_score,raw_momentum_6m,raw_momentum_3m,raw_momentum_1m,volatility_adjusted,smooth_momentum,consistency_score,trend_strength,momentum_12_2,fip_quality,calculated_date,created_at
ACMESOLAR.NS,0.8282,0.4317,0.1992,0.0691,0.1365,0.2369,0.4667,1.0,0.1404,0.0,2025-09-08,2025-09-07 19:42:05
GALLANTT.NS,0.8255,0.4178,0.1876,-0.0264,0.169,0.5267,0.5,0.5,0.974,0.2,2025-09-08,2025-09-07 19:42:05
METROPOLIS.NS,0.8245,0.3416,0.3041,0.0404,0.1836,0.1918,0.5667,1.0,0.018,0.0,2025-09-08,2025-09-07 19:42:05
ZYDUSWELL.NS,0.8222,0.3911,0.2023,0.2571,0.182,0.2392,0.4833,1.0,0.225,0.2,2025-09-08,2025-09-07 19:42:05
GLENMARK.NS,0.8145,0.4919,0.186,0.0047,0.1651,0.2221,0.5,0.5,0.3491,0.2,2025-09-08,2025-09-07 19:42:04
NYKAA.NS,0.8143,0.3074,0.1748,0.1295,0.2108,0.2832,0.6,1.0,0.4271,0.6,2025-09-08,2025-09-07 19:42:04
GPIL.NS,0.8128,0.2551,0.2921,0.1967,0.2132,0.2269,0.5667,1.0,0.2927,0.4,2025-09-08,2025-09-07 19:42:05
OLECTRA.NS,0.8121,0.2945,0.2848,0.0399,0.1562,0.221,0.5,1.0,-0.0278,0.0,2025-09-08,2025-09-07 19:42:05
CHOICEIN.NS,0.8112,0.4766,0.1016,-0.0171,0.135,0.3539,0.4833,0.5,0.4858,0.2,2025-09-08,2025-09-07 19:42:05
POLYCAB.NS,0.8106,0.3874,0.1197,0.0391,0.2312,0.2573,0.6,1.0,0.0339,-0.4,2025-09-08,2025-09-07 19:42:04
RATEGAIN.NS,0.8091,0.3396,0.403,0.2643,0.2403,0.1562,0.4833,1.0,-0.1179,0.0,2025-09-08,2025-09-07 19:42:05
DIACABS.NS,0.8074,0.5158,0.119,-0.0241,0.2254,0.3086,0.5167,0.0,-0.0059,-0.4,2025-09-08,2025-09-07 19:42:05
ABCAPITAL.NS,0.8066,0.4742,0.0154,0.0295,0.1223,0.3813,0.5,1.0,0.4539,0.4,2025-09-08,2025-09-07 19:42:04
INDIACEM.NS,0.8062,0.3845,0.182,0.0732,0.1437,0.2226,0.5333,1.0,0.0993,0.6,2025-09-08,2025-09-07 19:42:05
WAAREEENER.NS,0.8026,0.4514,0.0927,0.1169,0.0837,0.256,0.4667,1.0,0.2347,0.2,2025-09-08,2025-09-07 19:42:04
KAYNES.NS,0.7961,0.2409,0.1876,0.1201,0.1667,0.2911,0.55,1.0,0.1617,0.4,2025-09-08,2025-09-07 19:42:04
CUMMINSIND.NS,0.7942,0.3555,0.1767,0.0363,0.2694,0.2023,0.4833,1.0,0.1382,0.2,2025-09-08,2025-09-07 19:42:04
FACT.NS,0.7915,0.4722,0.025,0.0273,-0.0163,0.2966,0.3833,1.0,0.1408,0.2,2025-09-08,2025-09-07 19:42:04
SCHNEIDER.NS,0.7862,0.4415,0.1083,0.0184,0.1283,0.2532,0.55,0.5,0.0687,0.0,2025-09-08,2025-09-07 19:42:04
KAJARIACER.NS,0.7731,0.5136,0.0931,-0.0353,0.147,0.1926,0.5167,0.5,-0.0016,0.2,2025-09-08,2025-09-07 19:42:04
LEMONTREE.NS,0.7729,0.2312,0.2675,0.2059,0.1913,0.1839,0.4667,1.0,0.3365,0.6,2025-09-08,2025-09-07 19:42:05
HDFCAMC.NS,0.7726,0.3789,0.1023,0.0188,0.1351,0.2734,0.5167,0.5,0.3435,0.2,2025-09-08,2025-09-07 19:42:04
DIXON.NS,0.7723,0.1949,0.2463,0.1019,0.216,0.2033,0.6167,1.0,0.1424,0.0,2025-09-08,2025-09-07 19:42:04
KPIL.NS,0.7701,0.428,0.0325,0.0297,0.0854,0.2426,0.4667,1.0,0.1284,0.2,2025-09-08,2025-09-07 19:42:04
TECHNOE.NS,0.7654,0.4724,-0.0143,0.0094,0.0341,0.3488,0.5167,0.5,0.0179,0.2,2025-09-08,2025-09-07 19:42:04
ARVINDFASN.NS,0.7653,0.343,0.1231,0.0865,0.0987,0.2096,0.5333,1.0,-0.0503,0.0,2025-09-08,2025-09-07 19:42:05
KEI.NS,0.7651,0.4752,0.0695,0.0584,0.1085,0.1611,0.4833,1.0,-0.0646,-0.2,2025-09-08,2025-09-07 19:42:04
DALBHARAT.NS,0.7638,0.2925,0.0996,0.0615,0.1951,0.2479,0.5,1.0,0.3155,0.6,2025-09-08,2025-09-07 19:42:04
EICHERMOT.NS,0.759,0.2055,0.1878,0.1416,0.3665,0.1834,0.6167,1.0,0.3554,0.2,2025-09-08,2025-09-07 19:42:04
SUNDARMHLD.NS,0.7577,0.5099,-0.0645,0.0154,0.067,0.3954,0.4833,0.5,0.557,0.0,2025-09-08,2025-09-07 19:42:05
M&M.NS,0.7569,0.3573,0.1168,0.0911,0.1934,0.1709,0.5,1.0,0.1953,0.4,2025-09-08,2025-09-07 19:42:04
VARROC.NS,0.7566,0.4385,0.0435,0.1638,0.0903,0.2471,0.5167,0.5,0.1846,0.2,2025-09-08,2025-09-07 19:42:05
